route_id,trip_id
23878,6315212
23878,6315244
23878,6315271
23878,6315272
23878,6315262
23878,6315235
23878,6315260
23878,6315263
23878,6315261
23878,6315264
23878,6315210
23878,6315265
23878,6315199
23878,6315266
23878,6315216
23878,6315267
23878,6315225
23878,6315268
23878,6315269
23878,6315226
23878,6315227
23878,6315270
23879,6315640
23879,6315641
23879,6315665
23879,6315659
23879,6315705
23879,6315723
23879,6315634
23879,6315689
23879,6315746
23879,6315747
23879,6315650
23879,6315717
23879,6315719
23879,6315696
23879,6315720
23879,6315669
23879,6315670
23879,6315685
23879,6315687
23879,6315664
23879,6315726
23879,6315643
23879,6315728
23879,6315681
23879,6315680
23879,6315678
23879,6315708
23879,6315721
23879,6315722
23879,6315724
23879,6315725
23879,6315679
23879,6315658
23879,6315715
23879,6315739
23879,6315740
23879,6315672
23879,6315673
23879,6315695
23879,6315666
23879,6315729
23879,6315629
23879,6315701
23879,6315702
23879,6315703
23879,6315704
23879,6315718
23879,6315684
23879,6315706
23879,6315707
23879,6315635
23879,6315690
23879,6315691
23879,6315692
23879,6315693
23879,6315694
23879,6315735
23879,6315682
23879,6315683
23879,6315667
23879,6315642
23879,6315737
23879,6315633
23879,6315653
23879,6315639
23879,6315688
23879,6315745
23879,6315661
23879,6315662
23879,6315686
23879,6315743
23879,6315674
23879,6315646
23879,6315632
23879,6315748
23879,6315631
23879,6315741
23879,6315652
23879,6315697
23879,6315698
23879,6315730
23879,6315731
23879,6315671
23879,6315660
23879,6315636
23879,6315637
23879,6315638
23879,6315654
23879,6315655
23879,6315656
23879,6315711
23879,6315736
23879,6315677
23879,6315751
23879,6315752
23879,6315753
23879,6315714
23879,6315742
23879,6315733
23879,6315734
23879,6315744
23879,6315738
23879,6315645
23879,6315727
23879,6315663
23879,6315699
23879,6315657
23879,6315712
23879,6315644
23879,6315651
23879,6315749
23879,6315668
23879,6315630
23879,6315647
23879,6315648
23879,6315649
23879,6315713
23879,6315675
23879,6315676
23879,6315750
23879,6315709
23879,6315710
23879,6315700
23879,6315768
23879,6315754
23879,6315769
23879,6315755
23879,6315770
23879,6315756
23879,6315771
23879,6315757
23879,6315772
23879,6315758
23879,6315773
23879,6315759
23879,6315774
23879,6315760
23879,6315775
23879,6315761
23879,6315776
23879,6315762
23879,6315777
23879,6315763
23879,6315778
23879,6315764
23879,6315779
23879,6315780
23879,6315765
23879,6315781
23879,6315766
23879,6315767
23879,6315782
23879,6315716
23879,6315732
23879,6315920
23879,6315925
23879,6315824
23879,6315825
23879,6315921
23879,6315795
23879,6315926
23879,6315905
23879,6315862
23879,6315922
23879,6315897
23879,6315791
23879,6315927
23879,6315820
23879,6315919
23879,6315928
23879,6315915
23879,6315876
23879,6315877
23879,6315912
23879,6315829
23879,6315860
23879,6315836
23879,6315811
23879,6315871
23879,6315805
23879,6315911
23879,6315807
23879,6315887
23879,6315884
23879,6315872
23879,6315873
23879,6315784
23879,6315821
23879,6315888
23879,6315850
23879,6315913
23879,6315790
23879,6315870
23879,6315789
23879,6315786
